time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-29T21:47:54.620Z,38.1582,-117.9347,9.2,2.5,ml,27,48.45,0.032,0.09,nn,nn00738388,2020-05-29T22:03:54.040Z,"29 km SSE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-05-29T21:13:19.915Z,48.0675,154.9001,35,4.4,mb,,166,5.352,0.61,us,us6000a26m,2020-05-29T21:33:20.040Z,"303 km SSW of Severo-Kurilsk, Russia",earthquake,11.5,2,0.053,103,reviewed,us,us
2020-05-29T20:45:39.482Z,38.1878,-117.7428,9.3,3.9,ml,33,47.6,0.04,0.1404,nn,nn00738359,2020-05-29T22:09:04.846Z,"39 km SE of Mina, Nevada",earthquake,,0.8,0.54,12,reviewed,nn,nn
2020-05-29T20:24:41.249Z,-24.2147,-67.3181,205.94,4.6,mwr,,80,1.484,0.95,us,us6000a24m,2020-05-29T21:22:43.040Z,"101 km W of San Antonio de los Cobres, Argentina",earthquake,9.2,7.2,,,reviewed,us,guc
2020-05-29T20:14:52.169Z,-32.1434,-178.6516,14.51,5,mww,,75,2.955,1.36,us,us6000a24b,2020-05-29T21:17:27.871Z,"734 km NE of Whitianga, New Zealand",earthquake,11.2,3.9,0.093,11,reviewed,us,us
2020-05-29T20:08:47.490Z,17.9293,-66.9168,8,2.69,md,13,202,0.0593,0.19,pr,pr2020150021,2020-05-29T20:41:44.111Z,"4 km SSW of Guánica, Puerto Rico",earthquake,0.71,0.56,0.29,7,reviewed,pr,pr
2020-05-29T19:45:12.700Z,17.961,-68.2703,10,3.31,md,14,220,0.5639,0.54,pr,pr2020150020,2020-05-29T20:41:10.615Z,"58 km SE of Boca de Yuma, Dominican Republic",earthquake,2.34,3.48,0.4,8,reviewed,pr,pr
2020-05-29T19:36:28.330Z,38.153,-118.0114,2.6,3.1,ml,28,42.63,0.033,0.1306,nn,nn00738331,2020-05-29T20:00:25.097Z,"27 km SSE of Mina, Nevada",earthquake,,0.8,0.36,8,reviewed,nn,nn
2020-05-29T19:22:22.874Z,38.1516,-118.0105,2.6,3.1,ml,31,42.51,0.034,0.1426,nn,nn00738320,2020-05-29T20:40:46.497Z,"27 km SSE of Mina, Nevada",earthquake,,0.7,0.43,11,reviewed,nn,nn
2020-05-29T19:06:19.978Z,69.2222,-144.4379,2.4,2.6,ml,,,,0.78,ak,ak0206wdymdo,2020-05-29T19:18:26.334Z,"106 km SSW of Kaktovik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-05-29T18:53:43.894Z,62.9786,-151.1936,112.2,2.7,ml,,,,0.62,ak,ak0206wdnb82,2020-05-29T22:03:28.040Z,"58 km NNW of Petersville, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-05-29T17:57:30.540Z,38.1968,-117.7687,5.1,2.6,ml,32,48,0.019,0.1,nn,nn00738295,2020-05-29T18:40:37.040Z,"36 km SE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-05-29T17:05:45.120Z,18.9356,-67.658,7,3.5,md,16,199,0.5794,0.56,pr,pr2020150019,2020-05-29T18:04:06.870Z,"76 km NW of San Antonio, Puerto Rico",earthquake,2.009,1.81,0.18,6,reviewed,pr,pr
2020-05-29T16:58:59.820Z,17.9931,-66.8563,11,2.53,md,13,155,0.0291,0.2,pr,pr2020150018,2020-05-29T17:59:47.750Z,"2 km SE of Palomas, Puerto Rico",earthquake,0.58,0.5,0.16,10,reviewed,pr,pr
2020-05-29T16:32:55.274Z,-27.6644,-69.2336,116.16,4.9,mww,,33,0.83,1.34,us,us6000a1xu,2020-05-29T16:53:32.040Z,"113 km ESE of Copiapó, Chile",earthquake,5.8,5.1,0.086,13,reviewed,us,us
2020-05-29T16:13:19.416Z,-17.4335,167.5799,6.35,5,mww,,80,4.048,1.1,us,us6000a1xb,2020-05-29T16:40:08.040Z,"84 km WNW of Port-Vila, Vanuatu",earthquake,9.3,3.8,0.083,14,reviewed,us,us
2020-05-29T16:07:24.730Z,17.9993,-67.009,12,2.57,md,16,129,0.0462,0.21,pr,pr2020150017,2020-05-29T16:33:44.414Z,"4 km NE of La Parguera, Puerto Rico",earthquake,0.62,0.35,0.18,11,reviewed,pr,pr
2020-05-29T15:38:45.087Z,29.2024,77.0643,45.22,4.1,mb,,185,8.649,1.17,us,us6000a1wn,2020-05-29T20:18:40.268Z,"6 km SE of Sam?lkha, India",earthquake,4.6,8.9,0.158,11,reviewed,us,us
2020-05-29T15:22:56.956Z,38.1802,-117.7848,11.6,2.9,ml,28,67.57,0.056,0.1522,nn,nn00738221,2020-05-29T18:11:37.904Z,"36 km SE of Mina, Nevada",earthquake,,0.7,0.26,9,reviewed,nn,nn
2020-05-29T15:17:28.990Z,17.9188,-66.5868,6,3.15,md,15,205,0.1255,0.08,pr,pr2020150016,2020-05-29T15:32:19.374Z,"10 km SSE of Ponce, Puerto Rico",earthquake,0.41,0.19,0.12,8,reviewed,pr,pr
2020-05-29T15:07:37.840Z,19.2161667,-155.4171667,32.68,3.5,ml,59,141,0.02821,0.11,hv,hv71533747,2020-05-29T21:57:08.503Z,"6 km ENE of P?hala, Hawaii",earthquake,0.39,0.52,0.167,41,reviewed,hv,hv
2020-05-29T15:03:40.646Z,38.1587,-117.8924,5,3.1,ml,31,46.22,0.016,0.1408,nn,nn00738210,2020-05-29T19:18:26.265Z,"31 km SE of Mina, Nevada",earthquake,,0.6,0.39,11,reviewed,nn,nn
2020-05-29T13:55:25.720Z,38.1857,-117.79,6.5,2.6,ml,29,51.15,0.026,0.14,nn,nn00738178,2020-05-29T13:59:17.349Z,"35 km SE of Mina, Nevada",earthquake,,0.4,,,automatic,nn,nn
2020-05-29T13:25:32.485Z,38.1777,-117.7435,8.7,3.1,ml,19,106.44,0.05,0.1476,nn,nn00738275,2020-05-29T18:15:13.191Z,"39 km SE of Mina, Nevada",earthquake,,1.2,0.45,3,reviewed,nn,nn
2020-05-29T13:25:19.544Z,38.183,-117.7407,8.5,3,ml,26,47.5,0.045,0.1488,nn,nn00738160,2020-05-29T16:31:48.940Z,"39 km SE of Mina, Nevada",earthquake,,1.1,0.43,8,reviewed,nn,nn
2020-05-29T12:41:54.950Z,19.0391,-67.6881,46,3.33,md,14,244,0.6872,0.6,pr,pr2020150015,2020-05-29T13:07:42.765Z,"86 km NW of San Antonio, Puerto Rico",earthquake,3.29,11.88,0.07,8,reviewed,pr,pr
2020-05-29T12:37:35.990Z,38.162,-117.7478,10,2.5,ml,22,69.01,0.052,0.13,nn,nn00738139,2020-05-29T13:32:32.040Z,"40 km SE of Mina, Nevada",earthquake,,1.4,,,automatic,nn,nn
2020-05-29T11:55:39.930Z,17.9306,-66.5886,6,2.91,md,22,191,0.1136,0.24,pr,pr2020150014,2020-05-29T13:08:32.040Z,"9 km SSE of Ponce, Puerto Rico",earthquake,0.5,0.32,0.42,18,reviewed,pr,pr
2020-05-29T11:30:59.440Z,17.9413,-66.8733,10,2.93,md,21,193,0.0343,0.21,pr,pr2020150013,2020-05-29T12:06:30.040Z,"4 km SSE of Maria Antonia, Puerto Rico",earthquake,0.51,0.45,0.37,15,reviewed,pr,pr
2020-05-29T11:07:50.117Z,-17.4285,167.7139,10,5.3,mww,,80,4.042,0.97,us,us6000a1p9,2020-05-29T18:07:55.008Z,"72 km WNW of Port-Vila, Vanuatu",earthquake,10.4,1.8,0.069,20,reviewed,us,us
2020-05-29T10:40:10.960Z,44.7355,-110.8018333,4.84,2.5,ml,17,54,0.06319,0.14,uu,uu60023029,2020-05-29T14:17:56.960Z,"25 km ENE of West Yellowstone, Montana",earthquake,0.34,0.52,0.283,5,reviewed,uu,uu
2020-05-29T10:39:04.880Z,44.7276667,-110.7995,9.56,3.08,ml,31,46,0.0683,0.25,uu,uu60391377,2020-05-29T14:13:17.770Z,"25 km ENE of West Yellowstone, Montana",earthquake,0.42,0.74,0.213,5,reviewed,uu,uu
2020-05-29T10:35:53.650Z,17.9963,-68.3406,65,3.7,md,22,239,0.5192,0.35,pr,pr2020150011,2020-05-29T12:43:47.040Z,"50 km SE of Boca de Yuma, Dominican Republic",earthquake,3.25,3.22,0.11,17,reviewed,pr,pr
2020-05-29T10:10:32.801Z,-23.2776,-66.2501,216.37,4.8,mb,,36,1.805,1.17,us,us6000a1m5,2020-05-29T10:39:03.040Z,"58 km W of El Aguilar, Argentina",earthquake,7.5,7.1,0.027,439,reviewed,us,us
2020-05-29T10:05:18.152Z,36.1881,137.6872,10,5.1,mww,,94,0.549,1.2,us,us6000a1m1,2020-05-29T17:50:48.869Z,"22 km WSW of Toyoshina, Japan",earthquake,1.4,1.8,0.054,33,reviewed,us,us
2020-05-29T10:04:17.273Z,13.7232,-91.3379,35,4.8,mwr,,140,0.868,0.98,us,us6000a1m2,2020-05-29T12:41:16.524Z,"50 km SW of La Gomera, Guatemala",earthquake,7.8,2,0.098,10,reviewed,us,us
2020-05-29T09:53:34.984Z,44.5068,-115.2734,11.73,2.5,ml,,97,0.411,0.6,us,us6000a1lv,2020-05-29T13:59:32.040Z,"41 km NW of Stanley, Idaho",earthquake,1.6,10,0.053,47,reviewed,us,us
2020-05-29T09:14:59.920Z,38.1507,-117.9673,14.9,2.6,ml,22,91.76,0.021,0.1,nn,nn00738019,2020-05-29T09:23:50.805Z,"29 km SSE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-05-29T08:54:24.550Z,38.194,-117.7467,14.3,2.7,ml,36,49.88,0.019,0.15,nn,nn00737995,2020-05-29T08:57:44.955Z,"38 km SE of Mina, Nevada",earthquake,,1,,,automatic,nn,nn
2020-05-29T08:45:26.260Z,17.9226,-66.5866,4,3.07,md,12,193,0.1218,0.26,pr,pr2020150010,2020-05-29T09:37:08.573Z,"10 km SSE of Ponce, Puerto Rico",earthquake,0.55,0.55,0.05,4,reviewed,pr,pr
2020-05-29T08:33:22.380Z,17.9725,-66.7588,6,2.96,md,20,180,0.1204,0.19,pr,pr2020150009,2020-05-29T09:38:44.725Z,"5 km SSE of Magas Arriba, Puerto Rico",earthquake,0.47,0.26,0.2,15,reviewed,pr,pr
2020-05-29T08:03:33.209Z,30.5276,50.3614,10,4.4,mb,,66,6.016,0.9,us,us6000a1k1,2020-05-29T08:17:44.040Z,"13 km ESE of Behbah?n, Iran",earthquake,4.4,1.9,0.098,30,reviewed,us,us
2020-05-29T06:45:15.307Z,38.173,-117.8121,8.2,2.5,ml,25,58.22,0.048,0.1501,nn,nn00737933,2020-05-29T18:52:13.369Z,"35 km SE of Mina, Nevada",earthquake,,0.7,0.29,8,reviewed,nn,nn
2020-05-29T06:26:36.186Z,38.2278,-117.8043,8.2,3,ml,28,50.07,0.046,0.1455,nn,nn00737922,2020-05-29T16:54:10.594Z,"32 km SE of Mina, Nevada",earthquake,,0.8,0.31,10,reviewed,nn,nn
2020-05-29T06:23:29.323Z,-21.7637,-179.0544,585.77,5.1,mb,,51,4.837,0.95,us,us6000a1ja,2020-05-29T06:39:30.040Z,"403 km W of Haveluloto, Tonga",earthquake,12.2,9,0.085,45,reviewed,us,us
2020-05-29T05:55:19.920Z,38.1602,-117.9918,6.6,2.6,ml,35,41.63,0.031,0.19,nn,nn00737903,2020-05-29T06:54:56.040Z,"27 km SSE of Mina, Nevada",earthquake,,0.4,,,automatic,nn,nn
2020-05-29T05:40:57.680Z,38.131,-117.9893,2.8,2.9,ml,26,61.26,0.025,0.1532,nn,nn00737893,2020-05-29T21:40:19.366Z,"30 km SSE of Mina, Nevada",earthquake,,0.7,0.5,8,reviewed,nn,nn
2020-05-29T05:25:09.152Z,38.123,-118.0331,5.9,2.7,ml,28,56.05,0.04,0.1251,nn,nn00737879,2020-05-29T19:10:54.348Z,"30 km SSE of Mina, Nevada",earthquake,,1,0.43,10,reviewed,nn,nn
2020-05-29T04:43:24.099Z,13.1347,-89.208,81.69,4.2,mb,,158,1.265,1.07,us,us6000a1i0,2020-05-29T13:02:08.391Z,"41 km SSE of La Libertad, El Salvador",earthquake,7.9,9.2,0.058,84,reviewed,us,us
2020-05-29T04:28:46.463Z,16.8222,-93.6876,149.76,4.2,mb,,129,1.581,0.99,us,us6000a1hr,2020-05-29T04:47:16.040Z,"7 km ENE of Francisco I. Madero, Mexico",earthquake,7.6,6.9,0.054,95,reviewed,us,us
2020-05-29T03:43:08.223Z,46.0923,149.5868,165.56,4.9,mb,,133,4.79,1.09,us,us6000a1he,2020-05-29T04:00:46.040Z,"164 km NE of Kurilsk, Russia",earthquake,10.2,7.4,0.022,663,reviewed,us,us
